Numero de mesure;Longitude;Latitude;Position;Insee;Adresse;Complement;Code postal;Commune;Date de mesure;Mesure realisee;Rapport;Conformite de la mesure;Niveau global;Type d'environnement;Laboratoire
13558;3.88750;43.62694;03e 53' 15.00'' Est, 43e 37' 37.00'' Nord;34172;Rue Philippe Castan;En face du ne115;34000;MONTPELLIER;20/05/2008;En exterieur;FicheMesure13558.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
13694;3.87083;43.60806;03e 52' 15.00'' Est, 43e 36' 29.00'' Nord;34172;Cours Gambetta;Entre la rue du General Maureilhan et la rue du General Maurin;34000;MONTPELLIER;20/05/2008;En exterieur;FicheMesure13694.pdf;Oui;0.78;Rue / Route / Parking;AEXPERTISE
13695;3.87083;43.60556;03e 52' 15.00'' Est, 43e 36' 20.00'' Nord;34172;Rue Chaptal;A l'intersection avec la rue situee entre l'impasse de la Gerbe et la rue Toiras;34000;MONTPELLIER;20/05/2008;En exterieur;FicheMesure13695.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
13696;3.87306;43.60778;03e 52' 23.00'' Est, 43e 36' 28.00'' Nord;34172;Rue Paul Brousse;A l'angle de la rue Paul Brousse et de la rue Marceau;34000;MONTPELLIER;20/05/2008;En exterieur;FicheMesure13696.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
13873;3.24944;43.34861;03e 14' 58.00'' Est, 43e 20' 55.00'' Nord;34032;45 Avenue de la Voie Domitienne;Beziers Frigoulas, sur le parking arriere;34500;BEZIERS;23/06/2008;En exterieur;FicheMesure13873.pdf;Oui;0.71;Rue / Route / Parking;AEXPERTISE
14130;3.69500;43.39861;03e 41' 42.00'' Est, 43e 23' 55.00'' Nord;34301;Rue Lacan;Ecole Colbert, dans la cour, au fond, entre la cabane et le toboggan;34200;SETE;24/07/2008;En exterieur;FicheMesure14130.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
14145;3.69611;43.39944;03e 41' 46.00'' Est, 43e 23' 58.00'' Nord;34301;Grand'Rue Mario Roustan;Devant la presse de la Marine;34200;SETE;24/07/2008;En exterieur;FicheMesure14145.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
14146;3.67028;43.41278;03e 40' 13.00'' Est, 43e 24' 46.00'' Nord;34301;Rue du Bachaga Boualam;Stade Louis Michel, dans la tribune officielle, devant le fauteuil 5, au dessus du tunnel;34200;SETE;24/07/2008;En exterieur;FicheMesure14146.pdf;Oui;0.67;Rue / Route / Parking;AEXPERTISE
14147;3.67083;43.41167;03e 40' 15.00'' Est, 43e 24' 42.00'' Nord;34301;Rue du Bachaga Boualam;Stade Louis Michel, sur le terrain synthetique, au pied du pylene;34200;SETE;24/07/2008;En exterieur;FicheMesure14147.pdf;Oui;1.16;Rue / Route / Parking;AEXPERTISE
14148;3.67111;43.41167;03e 40' 16.00'' Est, 43e 24' 42.00'' Nord;34301;Rue du Bachaga Boualam;Stade Louis Michel, dans la tribune prestige, devant le fauteuil, en haut des escaliers de la travee G;34200;SETE;24/07/2008;En exterieur;FicheMesure14148.pdf;Oui;1.09;Rue / Route / Parking;AEXPERTISE
14194;3.86361;43.62472;03e 51' 49.00'' Est, 43e 37' 29.00'' Nord;34172;160 Avenue Sabatier d'Espeyran;Terrasse appartement 47;34090;MONTPELLIER;18/07/2008;En exterieur;FicheMesure14194.pdf;Oui;2.31;Divers;EMITECH Chassieu
14195;3.86361;43.62472;03e 51' 49.00'' Est, 43e 37' 29.00'' Nord;34172;160 Avenue Sabatier d'Espeyran;Terrasse appartement 53;34090;MONTPELLIER;18/07/2008;En exterieur;FicheMesure14195.pdf;Oui;3.57;Divers;EMITECH Chassieu
14280;3.18000;43.46806;03e 10' 48.00'' Est, 43e 28' 05.00'' Nord;34258;4 Cours Napoleon;  Ecole Communal, dans la cour, devant les toboggans;34480;SAINT-GENIES-DE-FONTEDIT;23/06/2008;En exterieur;FicheMesure14280.pdf;Oui;0.30;Rue / Route / Parking;AEXPERTISE
14281;3.18389;43.47278;03e 11' 02.00'' Est, 43e 28' 22.00'' Nord;34258;Rue de la Gachotte; Au bout de la rue, dans le virage;34480;SAINT-GENIES-DE-FONTEDIT;23/06/2008;En exterieur;FicheMesure14281.pdf;Oui;0.62;Rue / Route / Parking;AEXPERTISE
14282;3.18694;43.47028;03e 11' 13.00'' Est, 43e 28' 13.00'' Nord;34258;Rue des Pins;Lotissement Les Balcons de Saint Genies, sur la parcelle du haut;34480;SAINT-GENIES-DE-FONTEDIT;23/06/2008;En exterieur;FicheMesure14282.pdf;Oui;0.35;Rue / Route / Parking;AEXPERTISE
